Date,Location,Administered_Dose1_Pop_Pct
2022-03-13,ID,60.5
2022-03-13,IH,52
2022-03-13,IL,76.2
2022-03-13,IN,60.9
2022-03-13,KS,73.8
2022-03-13,KY,65.5
2022-03-13,LA,60.5
2022-03-13,MA,95
2022-03-13,MD,85.2
2022-03-13,ME,89.2
2022-03-13,MH,38.7
2022-03-13,MI,66.4
2022-03-13,MN,74.5
2022-03-13,MO,65.6
2022-03-13,MP,87.2
2022-03-13,MS,59
2022-03-13,MT,64.7
2022-03-13,NC,82.7
2022-03-13,ND,64.5
2022-03-13,NE,69.5
2022-03-13,NH,95
2022-03-13,NJ,89.4
2022-03-13,NM,86.4
2022-03-13,NV,74.3
2022-03-13,NY,89.3
2022-03-13,OH,63.1
2022-03-13,OK,70.2
2022-03-13,OR,77.2
2022-03-13,PA,83.6
2022-03-13,PR,95
2022-03-13,PW,94.3
2022-03-13,RI,95
2022-03-13,SC,66.9
2022-03-13,SD,75.2
2022-03-13,TN,61.5
2022-03-13,TX,71.5
2022-03-13,US,76.7
2022-03-13,UT,71.3
2022-03-13,VA,84.7
2022-03-13,VI,63.9
2022-03-13,VT,92.7
2022-03-13,WA,80
2022-03-13,WI,71.3
2022-03-13,WV,64.4
2022-03-13,WY,58.2
2022-03-14,AK,68.9
2022-03-14,AL,62.1
2022-03-14,AR,66
2022-03-14,AS,93.1
2022-03-14,AZ,71.8
2022-03-14,BP,0
2022-03-14,CA,82.2
2022-03-14,CO,78.6
2022-03-14,CT,94.3
2022-03-14,DC,95
2022-03-14,DD,0
2022-03-14,DE,82.1
2022-03-14,FL,78.3
2022-03-14,FM,60.5
2022-03-14,GA,64.6
2022-03-14,GU,89.8
2022-03-14,HI,86.7
2022-03-14,IA,67.4
2022-03-14,ID,60.5
2022-03-14,IH,52
2022-03-14,IL,76.2
2022-03-14,IN,60.9
2022-03-14,KS,73.8
2022-03-14,KY,65.6
2022-03-14,LA,60.5
2022-03-14,MA,95
2022-03-14,MD,85.3
2022-03-14,ME,89.2
2022-03-14,MH,38.7
2022-03-14,MI,66.4
2022-03-14,MN,74.5
2022-03-14,MO,65.6
2022-03-14,MP,87.2
2022-03-14,MS,59
2022-03-14,MT,64.7
2022-03-14,NC,82.7
2022-03-14,ND,64.5
2022-03-14,NE,69.5
2022-03-14,NH,95
2022-03-14,NJ,89.4
2022-03-14,NM,86.4
2022-03-14,NV,74.3
2022-03-14,NY,89.3
2022-03-14,OH,63.1
2022-03-14,OK,70.2
2022-03-14,OR,77.2
2022-03-14,PA,83.7
2022-03-14,PR,95
2022-03-14,PW,94.3
2022-03-14,RI,95
2022-03-14,SC,66.9
2022-03-14,SD,75.2
2022-03-14,TN,61.5
2022-03-14,TX,71.5
2022-03-14,US,76.7
2022-03-14,UT,71.3
2022-03-14,VA,84.8
2022-03-14,VI,63.9
2022-03-14,VT,92.7
2022-03-14,WA,80
2022-03-14,WI,71.3
2022-03-14,WV,64.4
2022-03-14,WY,58.2
2022-03-15,AK,69
2022-03-15,AL,62.1
2022-03-15,AR,66
2022-03-15,AS,93.1
2022-03-15,AZ,71.9
2022-03-15,BP,0
2022-03-15,CA,82.2
2022-03-15,CO,78.6
2022-03-15,CT,94.3
2022-03-15,DC,95
2022-03-15,DD,0
2022-03-15,DE,82.1
2022-03-15,FL,78.4
2022-03-15,FM,60.6
2022-03-15,GA,64.7
2022-03-15,GU,89.9
2022-03-15,HI,86.7
2022-03-15,IA,67.5
2022-03-15,ID,60.5
2022-03-15,IH,52
2022-03-15,IL,76.2
2022-03-15,IN,60.9
2022-03-15,KS,73.8
2022-03-15,KY,65.6
2022-03-15,LA,60.5
2022-03-15,MA,95
2022-03-15,MD,85.3
2022-03-15,ME,89.3
2022-03-15,MH,38.7
2022-03-15,MI,66.4
2022-03-15,MN,74.5
2022-03-15,MO,65.6
2022-03-15,MP,87.2
2022-03-15,MS,59
2022-03-15,MT,64.7
2022-03-15,NC,82.8
2022-03-15,ND,64.6
2022-03-15,NE,69.6
2022-03-15,NH,95
2022-03-15,NJ,89.4
2022-03-15,NM,86.4
2022-03-15,NV,74.4
2022-03-15,NY,89.3
2022-03-15,OH,63.1
2022-03-15,OK,70.3
2022-03-15,OR,77.2
2022-03-15,PA,83.7
2022-03-15,PR,95
2022-03-15,PW,94.4
2022-03-15,RI,95
2022-03-15,SC,66.9
2022-03-15,SD,75.3
2022-03-15,TN,61.6
2022-03-15,TX,71.6
2022-03-15,US,76.7
2022-03-15,UT,71.5
2022-03-15,VA,84.8
2022-03-15,VI,63.9
2022-03-15,VT,92.7
2022-03-15,WA,80
2022-03-15,WI,71.3
2022-03-15,WV,64.4
2022-03-15,WY,58.2
2022-03-16,AK,69
2022-03-16,AL,62.1
2022-03-16,AR,66
2022-03-16,AS,93.1
2022-03-16,AZ,71.9
2022-03-16,BP,0
2022-03-16,CA,82.2
2022-03-16,CO,78.7
2022-03-16,CT,94.3
